TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,A,0,0,,0,
5,70,756,CC,false,4,A,0,0,,0,
7,90,756,CC,false,7,A,0,0,,0,
9,70,756,CC,false,9,A,0,0,,0,
9,10,10,PCT,false,10,A,0,0,,0,
10,70,756,CC,false,9,A,0,0,,0,
12,100,756,CC,false,13,A,0,0,,0,
13,100,756,CC,false,13,A,0,0,,0,
15,90,756,CC,false,15,A,0,0,,0,
17,100,756,CC,false,18,A,0,0,,0,
18,100,756,CC,false,18,A,0,0,,0,
20,80,756,CC,false,20,A,0,0,,0,
22,70,756,CC,false,22,A,0,0,,0,
22,10,10,PCT,false,23,A,0,0,,0,
23,70,756,CC,false,22,A,0,0,,0,
25,80,756,CC,false,26,A,0,0,,0,
26,80,756,CC,false,26,A,0,0,,0,
28,80,756,CC,false,20,A,0,0,,0,
30,90,756,CC,false,7,A,0,0,,0,
32,70,756,CC,false,9,A,0,0,,0,
34,190,756,CC,false,35,A,0,0,,0,
35,190,756,CC,false,35,A,0,0,,0,
37,80,756,CC,false,38,A,0,0,,0,
38,80,756,CC,false,38,A,0,0,,0,
40,90,756,CC,false,15,A,0,0,,0,
43,0,756,CC,false,44,A,0,0,,0,
44,0,756,CC,false,44,A,0,0,,0,
46,70,756,CC,false,22,A,0,0,,0,
49,80,756,CC,false,50,A,0,0,,0,
50,80,756,CC,false,50,A,0,0,,0,
53,70,756,CC,false,4,A,0,0,,0,
